id,text,cluster_id,distance,outlier
1547623619290796032,"New competencies from on diversity, equity, and inclusion for medical education across the continuum MedEd DEI",1,0.21868229,False
1547622903969001472,"New competencies from on diversity, equity, and inclusion for medical education across the continuum MedEd DEI",1,0.21906468,False
1547620717377728512,"New competencies from on diversity, equity, and inclusion for medical education across the continuum MedEd DEI",1,0.2202871,False
1547642151034445824,"Diversity, Equity, and Inclusion Competencies Across the Learning Continuum MedEd",1,0.22431973,False
1314374792737419264,"What could this look like More attention to existing equitydiversityinclusion components of competencies, or an EDI lens used to reframe all of CBME MedEd MedEdChat c CanMeds2015",1,0.25675437,False
1314374792737419264,"What could this look like More attention to existing equitydiversityinclusion components of competencies, or an EDI lens used to reframe all of CBME MedEd MedEdChat c CanMeds2015",1,0.2599194,False
1314374792737419264,"What could this look like More attention to existing equitydiversityinclusion components of competencies, or an EDI lens used to reframe all of CBME MedEd MedEdChat c CanMeds2015",1,0.2599194,False
1328407192513482752,"AAMC20 Cross-Continuum Competencies in Equity, Diversity, and Inclusion - fascinating session Amazing to see full curricular models from and , and considerations for making DEI competency based. DEI should be across the continuum of MedEd.",1,0.2864477,False
1328396272206745600,Some of the reasons why we need cross-continuum competencies on equity DiversityandInclusion in MedEd AAMC20,1,0.29908642,False
1328396272206745600,Some of the reasons why we need cross-continuum competencies on equity DiversityandInclusion in MedEd AAMC20,1,0.29908642,False
1273801525219995648,"T3 22 And theirs are not the only voices - 40 meded leaders highlight critical role of holistic admissions, competency-time variable education, DiversityandInclusion and valuing educators to enact these changes MedEdChat",1,0.30202273,False
1328399195351420928,Some of the reasons why we need cross-continuum competencies on equity DiversityandInclusion in MedEd AAMC20,1,0.3024243,False
1328399195351420928,Some of the reasons why we need cross-continuum competencies on equity DiversityandInclusion in MedEd AAMC20,1,0.3024243,False
1328398057948508160,Some of the reasons why we need cross-continuum competencies on equity DiversityandInclusion in MedEd AAMC20,1,0.30390355,False
1328398057948508160,Some of the reasons why we need cross-continuum competencies on equity DiversityandInclusion in MedEd AAMC20,1,0.3048147,False
1273794758859788288,"T3 22 And theirs are not the only voices - 40 meded leaders highlight critical role of holistic admissions, competency-time variable education, DiversityandInclusion and valuing educators to enact these changes MedEdChat",1,0.30668312,False
1284474344140353536,"Funding Applications to the Strategic Grants now open. Areas of focus include 1. Equity, Diversity and Inclusion 2. Patient-Caregiver-engagementexperience amp 3. Competency-based medical education e.g. innovations, adaptations MedEd",1,0.30786672,False
1284464841701433344,"Funding Applications to the Strategic Grants now open. Areas of focus include 1. Equity, Diversity and Inclusion 2. Patient-Caregiver-engagementexperience amp 3. Competency-based medical education e.g. innovations, adaptations MedEd",1,0.30800354,False
1284836760233693184,"Funding Applications to the Strategic Grants now open. Areas of focus include 1. Equity, Diversity and Inclusion 2. Patient-Caregiver-engagementexperience amp 3. Competency-based medical education e.g. innovations, adaptations MedEd",1,0.30835462,False
1284290699584835584,"Funding Applications to the Strategic Grants now open. Areas of focus include 1. Equity, Diversity and Inclusion 2. Patient-Caregiver-engagementexperience amp 3. Competency-based medical education e.g. innovations, adaptations MedEd",1,0.3083935,False
