user_id,followers_count,following_count,tweet_count,listed_count,username,description
4043106914,51150,1586,48978,440,jvipondmd,𝙼𝙳 𝚝𝚛𝚢𝚒𝚗𝚐 𝚍𝚎𝚜𝚙𝚎𝚛𝚊𝚝𝚎𝚕𝚢 𝚝𝚘 𝚜𝚊𝚟𝚎 𝚑𝚒𝚜 𝚌𝚑𝚒𝚕𝚍𝚛𝚎𝚗'𝚜 𝚏𝚞𝚝𝚞𝚛𝚎.  @𝙲𝙰𝙿𝙴_𝙳𝚘𝚌𝚝𝚘𝚛𝚜 @𝙲𝚕𝚒𝚖𝚊𝚝𝚎𝙷𝚞𝚋𝚈YC
105366373,2618,1547,9116,86,uoftcpd,"Continuing Professional Development (CPD, @uoftmedicine) designs, delivers, and accredits #MedEd #CME programs and conferences for health professionals."
1433222964,4000,4926,40621,213,MKChan_RCPSC,Pediatrician/Educator; she/her; Chinese immigrant; #LeadershipEducation #SocialJustice #CivilitySaves #meded @sanokondu @EqHSLab @pivotmeded Views my own
1275043653711527936,439,2408,12410,0,Abid_Dr93,
780153837432795136,495,928,7380,14,sanokondu,sanokondu=‘Health leadership' in universal language Esperanto: intl CoP for health leadership ed. Open access LEADS & CBME #leadership resources. #TISLEP summit
1004927923,9958,3818,17940,200,Brent_Thoma,"Professor @USaskEM, Emergency/Trauma physician, tech-enhanced #MedEd researcher"
279201006,21673,2940,20264,275,Royal_College,Advancing learning for specialist physicians to deliver the best health care for all. Français: @College_royal
1049760072178561032,619,677,360,1,OwenLuo5,Incoming PGY1 @McGill_DOM | MDCM @McGillMed | Co-Founder Project Green Healthcare @CFMS_HEART | Planetary Health Advocate | Views my own.
2164779042,2419,159,3778,37,SanjSockalingam,"VP Education, Centre for Addiction and Mental Health (CAMH) | Medical Educator | Clinician Scientist | (views are my own)"
3490157414,96,146,225,0,dcgranzyme,
2750435895,1356,1792,728,13,SamanthaGreenTO,Family physician @UnityHealthTO and @ICHA_Toronto. @CAPE_ACME president-elect. mother of 3 kids + 2 cats + 1 dog
2341471015,214,226,55516,0,lornarnold,
273682356,2566,3729,6774,32,AeroMD,"Enthusiastic Explorer | Vascular Surgeon and triathlete I dream of possibilities, I create opportunities and I realize my goals through various avenues."
963234811803398144,3138,610,8690,32,DrKathleenRoss1,"President Elect Canadian Medical Association, PastPres Doctors of BC. Mom,Wife,Family Physician, Primary Care OB,Rotarian, Physician Advocate. Cautious Optimist"
1220797023932289027,694,139,801,5,smoffattbruce1,"President Lahey Hospital and Medical Center, Beth Israel Lahey Health"
1700447401,1329,1476,2003,22,ManiateJ,MD @OttawaHospital @GIMOttawa | Founding Director @EqHSLab | EMBA Candidate @QuanticSchool. Views are my own & reflect my interests in #HPE #EDIA #leadership
921860721171935232,1780,396,3856,14,SaleemRazack,"#PICU md, Father, partner 🏳️‍🌈Passionate about #picu, EDI, & #meded. My views. RT are not endorsements.  @UBCPediatrics @ubcMedCHES"
58727461,990,1804,78457,10,ToddKaighin,"60yo, 30 year HIV survivor. Former Gov't Pilot Project Officer-in-Charge and Chief Protocol Officer for Ontario (a sworn Judiciary)."
1474911270,1812,1099,1418,27,robwoodsuofs,"Father of 2, husband, dog owner to Gary, mediocre but enthusiastic wannabe athlete, ER & Transport Doc, Residency Director, MedEd Fellowship Director"
1949887466,26,79,158,0,drsmcdonald,
1125131354700644355,2794,3010,3338,18,CashinMD,"| Mi’kmaw | MD, FRCPC, LLM, MEd(c) | First Indigenous Radiologist & Nuc Med physician in 🇨🇦 | Director @CMA_Docs @theCMAF | https://t.co/FvEYwsvIbW"
3119304143,1398,586,3967,29,meredithyoung1,"Associate Professor & Associate Director:Research at @IHSE_McGill, McGill University (@McGillMed), co-lead of @pursuitvalidity. Terrible at clever bios"
342529914,78,439,11062,1,CathiXredmed,"sometimes too serious.sometimes too silly. sometimes just right. I retweet the funny, interesting, noteworthy, bizarre and just plain cute. RT =/= endorsement"
1644367146129014787,42,129,21,0,trashcanorg,"A @uottawamed resident planetary health initiative.
Supporting trainee-led research and QI projects for sustainable healthcare throughout Canada."
595027899,3873,4899,27610,184,dboyceMD,"MD, Family Medicine

Honoured to be Past President, Council  @CMPAmembers 
#SafeMedicalCare 
My own tweets-not medical advice"
